,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
13935,MZ727333,Unassigned,Unassigned,Unassigned,764_0,Clustered,8,VC_764_0,8,0.4425,1.0,0.4425,0,0,0,1.0
13936,MZ747508,Unassigned,Unassigned,Unassigned,771_0,Clustered,63,VC_771_0,63,0.889,1.0,0.889,0,0,0,1.0
13937,MZ747509,Unassigned,Unassigned,Unassigned,544_0,Clustered,100,VC_544_0,100,0.7831,1.0,0.7831,0,0,0,0.9996
13938,MZ747510,Unassigned,Unassigned,Unassigned,580_1,Clustered,11,VC_580_1,11,0.5324,1.0,0.5324,0,0,0,0.7818
13939,MZ747511,Unassigned,Unassigned,Unassigned,579_0,Clustered,21,VC_579_0,21,0.9915,1.0,0.9915,0,0,0,1.0
13940,MZ747512,Unassigned,Unassigned,Unassigned,547_49,Clustered/Singleton,1,VC_547_49,1,0.0,0.0,0.0,0,0,0,1.0
13941,MZ747513,Unassigned,Unassigned,Unassigned,1229_0,Clustered,39,VC_1229_0,39,1.0,0.0,0.0,0,0,0,1.0
13942,MZ747514,Unassigned,Unassigned,Unassigned,541_0,Clustered,75,VC_541_0,75,0.9419,1.0,0.9419,0,0,0,1.0
13943,MZ747515,Unassigned,Unassigned,Unassigned,1166_0,Clustered,9,VC_1166_0,9,0.5265,1.0,0.5265,0,0,0,1.0
13944,MZ747516,Unassigned,Unassigned,Unassigned,1208_0,Clustered,27,VC_1208_0,27,0.8276,1.0,0.8276,0,0,0,1.0
13945,MZ747517,Unassigned,Unassigned,Unassigned,230_0,Clustered,20,VC_230_0,20,0.6166,1.0,0.6166,0,0,0,1.0
13946,MZ747518,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
13947,MZ747519,Unassigned,Unassigned,Unassigned,547_11,Clustered/Singleton,1,VC_547_11,1,0.0,0.0,0.0,0,0,0,1.0
13948,MZ747520,Unassigned,Unassigned,Unassigned,817_0,Clustered,16,VC_817_0,16,0.8312,1.0,0.8312,0,0,0,1.0
13949,MZ747521,Unassigned,Unassigned,Unassigned,230_0,Clustered,20,VC_230_0,20,0.6166,1.0,0.6166,0,0,0,1.0
13950,MZ747522,Unassigned,Unassigned,Unassigned,1079_0,Clustered,4,VC_1079_0,4,0.1516,0.9999683,0.1516,0,0,0,1.0
13951,MZ751040,Unassigned,Unassigned,Unassigned,94_0,Clustered,8,VC_94_0,8,0.5809,1.0,0.5809,0,0,0,1.0
13952,MZ753803,Unassigned,Unassigned,Unassigned,289_118,Clustered/Singleton,1,VC_289_118,1,0.0,0.0,0.0,0,0,0,1.0
13953,MZ773648,Unassigned,Unassigned,Unassigned,791_0,Clustered,16,VC_791_0,16,0.9314,1.0,0.9314,0,0,0,1.0
13954,MZ773939,Unassigned,Unassigned,Unassigned,247_0,Clustered,23,VC_247_0,23,0.6774,1.0,0.6774,0,0,0,0.7273
13955,MZ779062,Unassigned,Unassigned,Unassigned,736_0,Clustered,7,VC_736_0,7,0.6743,1.0,0.6743,0,0,0,1.0
13956,MZ779063,Unassigned,Unassigned,Unassigned,479_0,Clustered,7,VC_479_0,7,0.6083,1.0,0.6083,0,0,0,1.0
13957,MZ803112,Unassigned,Unassigned,Unassigned,344_0,Clustered,31,VC_344_0,31,0.9506,1.0,0.9506,0,0,0,1.0
13958,MZ820083,Unassigned,Unassigned,Unassigned,1229_0,Clustered,39,VC_1229_0,39,1.0,0.0,0.0,0,0,0,1.0
13959,MZ820085,Unassigned,Unassigned,Unassigned,582_1,Clustered/Singleton,1,VC_582_1,1,0.0,0.0,0.0,0,0,0,1.0
13960,MZ820087,Unassigned,Unassigned,Unassigned,1208_0,Clustered,27,VC_1208_0,27,0.8276,1.0,0.8276,0,0,0,1.0
13961,MZ820088,Unassigned,Unassigned,Unassigned,986_0,Clustered,62,VC_986_0,62,0.8652,1.0,0.8652,0,0,0,0.7425
13962,MZ820089,Unassigned,Unassigned,Unassigned,1105_0,Clustered,4,VC_1105_0,4,0.8401,0.98693815,0.8291,0,0,0,1.0
13963,MZ820090,Unassigned,Unassigned,Unassigned,225_7,Clustered,32,VC_225_7,32,0.3949,1.0,0.3949,0,0,0,0.998
13964,MZ820091,Unassigned,Unassigned,Unassigned,986_0,Clustered,62,VC_986_0,62,0.8652,1.0,0.8652,0,0,0,0.7425
13965,MZ820092,Unassigned,Unassigned,Unassigned,986_0,Clustered,62,VC_986_0,62,0.8652,1.0,0.8652,0,0,0,0.7425
13966,MZ820093,Unassigned,Unassigned,Unassigned,1076_3,Clustered,6,VC_1076_3,6,0.1328,0.99999993,0.1328,0,0,0,1.0
13967,MZ820094,Unassigned,Unassigned,Unassigned,1076_3,Clustered,6,VC_1076_3,6,0.1328,0.99999993,0.1328,0,0,0,1.0
13968,MZ820095,Unassigned,Unassigned,Unassigned,1076_2,Clustered,5,VC_1076_2,5,0.1022,0.99998605,0.1022,0,0,0,1.0
13969,MZ821031,Unassigned,Unassigned,Unassigned,1134_0,Clustered,19,VC_1134_0,19,0.7599,1.0,0.7599,0,0,0,1.0
13970,MZ826344,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13971,MZ826345,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13972,MZ826346,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13973,MZ826347,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13974,MZ826348,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13975,MZ826349,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13976,MZ826350,Unassigned,Unassigned,Unassigned,880_4,Clustered,6,VC_880_4,6,0.1128,0.99897251,0.1126,0,0,0,1.0
13977,MZ826351,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13978,MZ826352,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13979,MZ826353,Unassigned,Unassigned,Unassigned,880_4,Clustered,6,VC_880_4,6,0.1128,0.99897251,0.1126,0,0,0,1.0
13980,MZ826354,Unassigned,Unassigned,Unassigned,90_0,Clustered,41,VC_90_0,41,0.8494,1.0,0.8494,0,0,0,1.0
13981,MZ832314,Unassigned,Unassigned,Unassigned,654_0,Clustered,41,VC_654_0,41,0.7179,1.0,0.7179,0,0,0,1.0
13982,MZ833439,Unassigned,Unassigned,Unassigned,423_0,Clustered,123,VC_423_0,123,0.9557,1.0,0.9557,0,0,0,1.0
13983,MZ836210,Unassigned,Unassigned,Unassigned,491_0,Clustered,11,VC_491_0,11,0.1218,1.0,0.1218,0,0,0,1.0
13984,MZ856343,Unassigned,Unassigned,Unassigned,581_38,Clustered/Singleton,1,VC_581_38,1,0.0,0.0,0.0,0,0,0,1.0
13985,MZ868638,Unassigned,Unassigned,Unassigned,291_1,Clustered,12,VC_291_1,12,0.0909,1.0,0.0909,0,0,0,0.9545
13986,MZ868713,Unassigned,Unassigned,Unassigned,880_2,Clustered,11,VC_880_2,11,0.2663,1.0,0.2663,0,0,0,1.0
13987,MZ868714,Unassigned,Unassigned,Unassigned,159_0,Clustered,14,VC_159_0,14,0.6402,1.0,0.6402,0,0,0,1.0
13988,MZ868715,Unassigned,Unassigned,Unassigned,159_0,Clustered,14,VC_159_0,14,0.6402,1.0,0.6402,0,0,0,1.0
13989,MZ868716,Unassigned,Unassigned,Unassigned,159_0,Clustered,14,VC_159_0,14,0.6402,1.0,0.6402,0,0,0,1.0
13990,MZ868717,Unassigned,Unassigned,Unassigned,159_0,Clustered,14,VC_159_0,14,0.6402,1.0,0.6402,0,0,0,1.0
13991,MZ868718,Unassigned,Unassigned,Unassigned,831_0,Clustered,5,VC_831_0,5,0.8223,0.99999922,0.8223,0,0,0,1.0
13992,MZ868724,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
13993,MZ868725,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
13994,MZ868726,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
13995,MZ892987,Unassigned,Unassigned,Unassigned,306_0,Clustered,12,VC_306_0,12,0.5693,1.0,0.5693,0,0,0,0.8636
13996,MZ892988,Unassigned,Unassigned,Unassigned,306_0,Clustered,12,VC_306_0,12,0.5693,1.0,0.5693,0,0,0,0.8636
13997,MZ892989,Unassigned,Unassigned,Unassigned,306_0,Clustered,12,VC_306_0,12,0.5693,1.0,0.5693,0,0,0,0.8636
13998,MZ892990,Unassigned,Unassigned,Unassigned,306_0,Clustered,12,VC_306_0,12,0.5693,1.0,0.5693,0,0,0,0.8636
13999,MZ892991,Unassigned,Unassigned,Unassigned,306_0,Clustered,12,VC_306_0,12,0.5693,1.0,0.5693,0,0,0,0.8636
14000,MZ892992,Unassigned,Unassigned,Unassigned,306_0,Clustered,12,VC_306_0,12,0.5693,1.0,0.5693,0,0,0,0.8636
14001,MZ923531,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
14002,MZ926748,Unassigned,Unassigned,Unassigned,495_0,Clustered,8,VC_495_0,8,0.27,1.0,0.27,0,0,0,1.0
14003,MZ927745,Unassigned,Unassigned,Unassigned,760_0,Clustered,41,VC_760_0,41,0.8412,1.0,0.8412,0,0,0,1.0
14004,MZ927746,Unassigned,Unassigned,Unassigned,760_0,Clustered,41,VC_760_0,41,0.8412,1.0,0.8412,0,0,0,1.0
14005,MZ936314,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
14006,MZ936315,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
14007,MZ936316,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
14008,MZ955866,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
14009,MZ955867,Unassigned,Unassigned,Unassigned,847_0,Clustered,25,VC_847_0,25,0.8251,1.0,0.8251,0,0,0,1.0
14010,MZ955869,Unassigned,Unassigned,Unassigned,696_0,Clustered,50,VC_696_0,50,0.9948,1.0,0.9948,0,0,0,1.0
14011,MZ955870,Unassigned,Unassigned,Unassigned,1163_0,Clustered,4,VC_1163_0,4,0.3533,0.99792192,0.3525,0,0,0,1.0
14012,MZ958744,Unassigned,Unassigned,Unassigned,547_44,Clustered/Singleton,1,VC_547_44,1,0.0,0.0,0.0,0,0,0,1.0
14013,MZ958745,Unassigned,Unassigned,Unassigned,581_5,Clustered,4,VC_581_5,4,0.0104,0.9865372,0.0103,0,0,0,0.8333
14014,MZ958746,Unassigned,Unassigned,Unassigned,890_0,Clustered,18,VC_890_0,18,0.3703,1.0,0.3703,0,0,0,1.0
14015,MZ958747,Unassigned,Unassigned,Unassigned,244_0,Clustered,17,VC_244_0,17,0.6174,1.0,0.6174,0,0,0,1.0
14016,MZ958748,Unassigned,Unassigned,Unassigned,571_4,Clustered,16,VC_571_4,16,0.2519,0.99999961,0.2519,0,0,0,0.9417
14017,MZ958749,Unassigned,Unassigned,Unassigned,1230_0,Clustered,78,VC_1230_0,78,0.774,1.0,0.774,0,0,0,1.0
14018,MZ958750,Unassigned,Unassigned,Unassigned,1074_3,Clustered,16,VC_1074_3,16,0.2457,1.0,0.2457,0,0,0,0.9917
14019,MZ967493,Unassigned,Unassigned,Unassigned,707_0,Clustered,67,VC_707_0,67,0.9331,1.0,0.9331,0,0,0,1.0
14020,MZ969646,Unassigned,Unassigned,Unassigned,96_5,Clustered/Singleton,1,VC_96_5,1,0.0,0.0,0.0,0,0,0,1.0
14021,MZ995503,Unassigned,Unassigned,Unassigned,418_0,Clustered,5,VC_418_0,5,0.1995,0.99999995,0.1995,0,0,0,1.0
14022,MZ995504,Unassigned,Unassigned,Unassigned,915_0,Clustered,2,VC_915_0,2,1.0,0.0,0.0,0,0,0,1.0
14023,MZ995505,Unassigned,Unassigned,Unassigned,835_0,Clustered,8,VC_835_0,8,0.997,0.99997826,0.997,0,0,0,1.0
14024,MZ995506,Unassigned,Unassigned,Unassigned,418_0,Clustered,5,VC_418_0,5,0.1995,0.99999995,0.1995,0,0,0,1.0
14025,MZ997838,Unassigned,Unassigned,Unassigned,654_0,Clustered,41,VC_654_0,41,0.7179,1.0,0.7179,0,0,0,1.0
14026,MZ997839,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
14027,MZ997840,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
14028,MZ997841,Unassigned,Unassigned,Unassigned,482_0,Clustered,53,VC_482_0,53,0.9183,1.0,0.9183,0,0,0,1.0
14029,OK018136,Unassigned,Unassigned,Unassigned,77_0,Clustered,12,VC_77_0,12,0.4158,1.0,0.4158,0,0,0,1.0
14030,OK018184,Unassigned,Unassigned,Unassigned,289_166,Clustered/Singleton,1,VC_289_166,1,0.0,0.0,0.0,0,0,0,1.0
14031,OK019720,Unassigned,Unassigned,Unassigned,609_0,Clustered,3,VC_609_0,3,0.0593,0.99717486,0.0591,0,0,0,1.0
14032,OK040170,Unassigned,Unassigned,Unassigned,516_1,Clustered,8,VC_516_1,8,0.2964,1.0,0.2964,0,0,0,1.0
14033,OK040171,Unassigned,Unassigned,Unassigned,880_1,Clustered/Singleton,1,VC_880_1,1,0.0,0.0,0.0,0,0,0,1.0
14034,OK040777,Unassigned,Unassigned,Unassigned,1208_0,Clustered,27,VC_1208_0,27,0.8276,1.0,0.8276,0,0,0,1.0
14035,OK040778,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
14036,OK040779,Unassigned,Unassigned,Unassigned,1207_0,Clustered,7,VC_1207_0,7,0.1893,1.0,0.1893,0,0,0,1.0
14037,OK040780,Unassigned,Unassigned,Unassigned,1039_0,Clustered,5,VC_1039_0,5,0.3519,0.9999994,0.3519,0,0,0,0.8
14038,OK040781,Unassigned,Unassigned,Unassigned,1329_0,Clustered,72,VC_1329_0,72,1.0,0.0,0.0,0,0,0,1.0
14039,OK040782,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
14040,OK040783,Unassigned,Unassigned,Unassigned,1329_0,Clustered,72,VC_1329_0,72,1.0,0.0,0.0,0,0,0,1.0
14041,OK040784,Unassigned,Unassigned,Unassigned,242_0,Clustered,69,VC_242_0,69,0.7874,1.0,0.7874,0,0,0,1.0
14042,OK040785,Unassigned,Unassigned,Unassigned,916_0,Clustered,34,VC_916_0,34,0.8978,1.0,0.8978,0,0,0,1.0
14043,OK040786,Unassigned,Unassigned,Unassigned,892_1,Clustered,4,VC_892_1,4,0.4649,0.9999689,0.4649,0,0,0,1.0
14044,OK040787,Unassigned,Unassigned,Unassigned,1175_2,Clustered,5,VC_1175_2,5,0.1972,0.99999987,0.1972,0,0,0,1.0
14045,OK040788,Unassigned,Unassigned,Unassigned,1328_0,Clustered,19,VC_1328_0,19,0.982,1.0,0.982,0,0,0,1.0
14046,OK040789,Unassigned,Unassigned,Unassigned,581_43,Clustered,15,VC_581_43,15,0.0487,1.0,0.0487,0,0,0,0.8952
14047,OK040790,Unassigned,Unassigned,Unassigned,1108_2,Clustered/Singleton,1,VC_1108_2,1,0.0,0.0,0.0,0,0,0,1.0
14048,OK040791,Unassigned,Unassigned,Unassigned,327_31,Clustered,4,VC_327_31,4,0.0148,0.99997189,0.0148,0,0,0,0.8333
14049,OK040792,Unassigned,Unassigned,Unassigned,1334_0,Clustered,7,VC_1334_0,7,0.2672,1.0,0.2672,0,0,0,1.0
14050,OK040793,Unassigned,Unassigned,Unassigned,1108_1,Clustered,2,VC_1108_1,2,0.1572,0.889372,0.1398,0,0,0,1.0
14051,OK040794,Unassigned,Unassigned,Unassigned,1107_1,Clustered/Singleton,1,VC_1107_1,1,0.0,0.0,0.0,0,0,0,1.0
14052,OK040806,Unassigned,Unassigned,Unassigned,331_12,Clustered,3,VC_331_12,3,0.0125,0.99717241,0.0125,0,0,0,1.0
14053,OK040807,Unassigned,Unassigned,Unassigned,331_12,Clustered,3,VC_331_12,3,0.0125,0.99717241,0.0125,0,0,0,1.0
14054,OK040907,Unassigned,Unassigned,Unassigned,289_55,Clustered,3,VC_289_55,3,0.0057,0.99436514,0.0057,0,0,0,1.0
14055,OK041468,Unassigned,Unassigned,Unassigned,627_0,Clustered,8,VC_627_0,8,0.9917,1.0,0.9917,0,0,0,1.0
14056,OK041469,Unassigned,Unassigned,Unassigned,618_0,Clustered,2,VC_618_0,2,0.0703,0.91403432,0.0643,0,0,0,1.0
14057,OK042080,Unassigned,Unassigned,Unassigned,423_0,Clustered,123,VC_423_0,123,0.9557,1.0,0.9557,0,0,0,1.0
14058,OK073976,Unassigned,Unassigned,Unassigned,807_0,Clustered,34,VC_807_0,34,0.9747,1.0,0.9747,0,0,0,1.0
14059,OK076929,Unassigned,Unassigned,Unassigned,289_100,Clustered/Singleton,1,VC_289_100,1,0.0,0.0,0.0,0,0,0,1.0
14060,OK094519,Unassigned,Unassigned,Unassigned,137_0,Clustered,19,VC_137_0,19,0.5424,1.0,0.5424,0,0,0,1.0
14061,OK094664,Unassigned,Unassigned,Unassigned,42_1,Clustered,4,VC_42_1,4,0.1482,0.95107304,0.1409,0,0,0,1.0
14062,OK094665,Unassigned,Unassigned,Unassigned,760_0,Clustered,41,VC_760_0,41,0.8412,1.0,0.8412,0,0,0,1.0
14063,OK095358,Unassigned,Unassigned,Unassigned,361_0,Clustered,5,VC_361_0,5,0.5714,0.99999988,0.5714,0,0,0,1.0
14064,OK108607,Unassigned,Unassigned,Unassigned,198_23,Clustered,9,VC_198_23,9,0.0631,1.0,0.0631,0,0,0,0.8333
14065,OK108608,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
14066,OK108609,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
14067,OK129343,Unassigned,Unassigned,Unassigned,807_0,Clustered,34,VC_807_0,34,0.9747,1.0,0.9747,0,0,0,1.0
14068,OK136180,Unassigned,Unassigned,Unassigned,605_0,Clustered,3,VC_605_0,3,0.0654,0.99646126,0.0651,0,0,0,1.0
14069,OK136181,Unassigned,Unassigned,Unassigned,859_0,Clustered,3,VC_859_0,3,0.0959,0.99699176,0.0956,0,0,0,1.0
14070,OK138555,Unassigned,Unassigned,Unassigned,937_0,Clustered,64,VC_937_0,64,0.8744,1.0,0.8744,0,0,0,1.0
14071,OK138556,Unassigned,Unassigned,Unassigned,421_0,Clustered,88,VC_421_0,88,0.9495,1.0,0.9495,0,0,0,1.0
14072,OK143207,Unassigned,Unassigned,Unassigned,198_24,Clustered,5,VC_198_24,5,0.0298,0.99999927,0.0298,0,0,0,0.7
14073,OK143508,Unassigned,Unassigned,Unassigned,653_0,Clustered,112,VC_653_0,112,0.7111,1.0,0.7111,0,0,0,0.9131
14074,OK148439,Unassigned,Unassigned,Unassigned,807_0,Clustered,34,VC_807_0,34,0.9747,1.0,0.9747,0,0,0,1.0
14075,OK148440,Unassigned,Unassigned,Unassigned,833_0,Clustered,11,VC_833_0,11,0.2158,1.0,0.2158,0,0,0,1.0
14076,OK148441,Unassigned,Unassigned,Unassigned,289_121,Clustered/Singleton,1,VC_289_121,1,0.0,0.0,0.0,0,0,0,1.0
14077,OK149171,Unassigned,Unassigned,Unassigned,792_3,Clustered,10,VC_792_3,10,0.1084,1.0,0.1084,0,0,0,0.8444
14078,OK149215,Unassigned,Unassigned,Unassigned,417_0,Clustered,37,VC_417_0,37,0.8419,1.0,0.8419,0,0,0,1.0
14079,OK169616,Unassigned,Unassigned,Unassigned,653_1,Clustered,29,VC_653_1,29,0.2543,1.0,0.2543,0,0,0,0.9261
14080,OK172329,Unassigned,Unassigned,Unassigned,770_0,Clustered,3,VC_770_0,3,0.6513,0.99300699,0.6468,0,0,0,1.0
14081,OK173051,Unassigned,Unassigned,Unassigned,448_0,Clustered,37,VC_448_0,37,0.5873,1.0,0.5873,0,0,0,0.9489
14082,OK181858,Unassigned,Unassigned,Unassigned,605_0,Clustered,3,VC_605_0,3,0.0654,0.99646126,0.0651,0,0,0,1.0
14083,OK181860,Unassigned,Unassigned,Unassigned,859_0,Clustered,3,VC_859_0,3,0.0959,0.99699176,0.0956,0,0,0,1.0
14084,OK181861,Unassigned,Unassigned,Unassigned,605_0,Clustered,3,VC_605_0,3,0.0654,0.99646126,0.0651,0,0,0,1.0
14085,OK181862,Unassigned,Unassigned,Unassigned,859_0,Clustered,3,VC_859_0,3,0.0959,0.99699176,0.0956,0,0,0,1.0
14086,OK210074,Unassigned,Unassigned,Unassigned,481_0,Clustered,79,VC_481_0,79,0.9991,1.0,0.9991,0,0,0,1.0
14087,OK210077,Unassigned,Unassigned,Unassigned,857_0,Clustered,26,VC_857_0,26,0.7815,1.0,0.7815,0,0,0,1.0
14088,OK216879,Unassigned,Unassigned,Unassigned,538_0,Clustered,11,VC_538_0,11,0.3959,1.0,0.3959,0,0,0,0.9273
14089,OK254197,Unassigned,Unassigned,Unassigned,198_23,Clustered,9,VC_198_23,9,0.0631,1.0,0.0631,0,0,0,0.8333
14090,OK254198,Unassigned,Unassigned,Unassigned,293_1,Clustered,8,VC_293_1,8,0.0779,1.0,0.0779,0,0,0,0.8571
14091,OK258139,Unassigned,Unassigned,Unassigned,880_4,Clustered,6,VC_880_4,6,0.1128,0.99897251,0.1126,0,0,0,1.0
14092,OK258140,Unassigned,Unassigned,Unassigned,74_0,Clustered,9,VC_74_0,9,0.5407,1.0,0.5407,0,0,0,1.0
14093,OK268422,Unassigned,Unassigned,Unassigned,1043_0,Clustered,23,VC_1043_0,23,0.9606,1.0,0.9606,0,0,0,1.0
14094,OK268423,Unassigned,Unassigned,Unassigned,1043_0,Clustered,23,VC_1043_0,23,0.9606,1.0,0.9606,0,0,0,1.0
14095,OK268424,Unassigned,Unassigned,Unassigned,1043_0,Clustered,23,VC_1043_0,23,0.9606,1.0,0.9606,0,0,0,1.0
14096,OK268425,Unassigned,Unassigned,Unassigned,1043_0,Clustered,23,VC_1043_0,23,0.9606,1.0,0.9606,0,0,0,1.0
14097,OK268426,Unassigned,Unassigned,Unassigned,1043_0,Clustered,23,VC_1043_0,23,0.9606,1.0,0.9606,0,0,0,1.0
14098,OK268427,Unassigned,Unassigned,Unassigned,1043_0,Clustered,23,VC_1043_0,23,0.9606,1.0,0.9606,0,0,0,1.0
14099,OK272470,Unassigned,Unassigned,Unassigned,857_0,Clustered,26,VC_857_0,26,0.7815,1.0,0.7815,0,0,0,1.0
14100,OK272471,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14101,OK272472,Unassigned,Unassigned,Unassigned,331_3,Clustered,2,VC_331_3,2,0.0047,0.88716027,0.0042,0,0,0,1.0
14102,OK272473,Unassigned,Unassigned,Unassigned,289_26,Clustered/Singleton,1,VC_289_26,1,0.0,0.0,0.0,0,0,0,1.0
14103,OK272474,Unassigned,Unassigned,Unassigned,844_0,Clustered,65,VC_844_0,65,0.9588,1.0,0.9588,0,0,0,1.0
14104,OK272476,Unassigned,Unassigned,Unassigned,289_27,Clustered/Singleton,1,VC_289_27,1,0.0,0.0,0.0,0,0,0,1.0
14105,OK272477,Unassigned,Unassigned,Unassigned,198_34,Clustered/Singleton,1,VC_198_34,1,0.0,0.0,0.0,0,0,0,1.0
14106,OK272478,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14107,OK272479,Unassigned,Unassigned,Unassigned,940_0,Clustered,40,VC_940_0,40,0.6897,1.0,0.6897,0,0,0,1.0
14108,OK272480,Unassigned,Unassigned,Unassigned,198_14,Clustered,4,VC_198_14,4,0.022,0.99992835,0.022,0,0,0,0.6667
14109,OK272481,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14110,OK272482,Unassigned,Unassigned,Unassigned,784_0,Clustered,17,VC_784_0,17,0.1104,0.99628547,0.1099,0,0,0,0.9412
14111,OK272483,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14112,OK272484,Unassigned,Unassigned,Unassigned,289_29,Clustered/Singleton,1,VC_289_29,1,0.0,0.0,0.0,0,0,0,1.0
14113,OK272485,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14114,OK272486,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14115,OK272487,Unassigned,Unassigned,Unassigned,940_0,Clustered,40,VC_940_0,40,0.6897,1.0,0.6897,0,0,0,1.0
14116,OK272488,Unassigned,Unassigned,Unassigned,844_0,Clustered,65,VC_844_0,65,0.9588,1.0,0.9588,0,0,0,1.0
14117,OK272489,Unassigned,Unassigned,Unassigned,941_0,Clustered,35,VC_941_0,35,0.7852,1.0,0.7852,0,0,0,1.0
14118,OK272490,Unassigned,Unassigned,Unassigned,331_1,Clustered,22,VC_331_1,22,0.1145,1.0,0.1145,0,0,0,0.7835
14119,OK274152,Unassigned,Unassigned,Unassigned,289_45,Clustered/Singleton,1,VC_289_45,1,0.0,0.0,0.0,0,0,0,1.0
14120,OK274245,Unassigned,Unassigned,Unassigned,89_0,Clustered,4,VC_89_0,4,0.3563,0.99996596,0.3562,0,0,0,1.0
14121,OK275491,Unassigned,Unassigned,Unassigned,880_4,Clustered,6,VC_880_4,6,0.1128,0.99897251,0.1126,0,0,0,1.0
14122,OK275492,Unassigned,Unassigned,Unassigned,172_0,Clustered,15,VC_172_0,15,0.6481,1.0,0.6481,0,0,0,1.0
14123,OK275493,Unassigned,Unassigned,Unassigned,172_0,Clustered,15,VC_172_0,15,0.6481,1.0,0.6481,0,0,0,1.0
14124,OK275494,Unassigned,Unassigned,Unassigned,368_0,Clustered,14,VC_368_0,14,0.6086,1.0,0.6086,0,0,0,1.0
14125,OK275722,Unassigned,Unassigned,Unassigned,289_122,Clustered,2,VC_289_122,2,0.0027,0.82566012,0.0023,0,0,0,1.0
14126,OK283618,Unassigned,Unassigned,Unassigned,334_0,Clustered,3,VC_334_0,3,0.0434,0.99717062,0.0432,0,0,0,1.0
14127,OK283619,Unassigned,Unassigned,Unassigned,140_24,Clustered,7,VC_140_24,7,0.0309,0.9999997,0.0309,0,0,0,0.9524
14128,OK288022,Unassigned,Unassigned,Unassigned,199_15,Clustered,11,VC_199_15,11,0.0604,1.0,0.0604,0,0,0,0.7818
